City,Lon,Lat
Hefei,117.17,31.52
Anqing,117.02,30.31
Bengbu,117.21,32.56
Bozhou,115.47,33.52
Chaohu,117.52,31.36
Chuzhou,118.18,32.18
Fuyang,115.48,32.54
Huaibei,116.47,33.57
Huainan,116.58,32.37
Huangshan,118.18,29.43
Jieshou,115.21,33.15
Luan,116.28,31.44
Maanshan,118.28,31.43
Mingguang,117.58,32.47
Tianchang,118.59,32.41
Tongling,117.48,30.56
Wuhu,118.22,31.19
Beijing,116.24,39.55
Fuzhou,119.18,26.05
Changle,119.31,25.58
Fuan,119.39,27.06
Fuqing,119.23,25.42
Jianou,118.2,27.03
Jinjiang,118.35,24.49
Longhai,117.48,24.26
Longyan,117.01,25.06
Nanan,118.23,24.57
Nanping,118.1,26.38
Ningde,119.31,26.39
Putian,119.01,24.26
Quanzhou,118.36,24.56
Sanming,117.36,26.13
Shaowu,117.29,27.2
Shishi,118.38,24.44
Wuyishan,118.02,27.46
Xiamen,118.06,24.27
Yongan,117.23,25.58
Zhangping,117.24,25.17
Zhangzhou,117.39,24.31
Lanzhou,103.51,36.04
Baiyin,104.12,36.33
Dunhuang,94.41,40.08
Jiayuguan,98.14,39.48
Jinchang,102.1,38.28
Jiuquan,98.31,39.44
Linxia,103.12,35.37
Pingliang,106.4,35.32
Tianshui,105.42,34.37
Wuwei,102.39,37.56
Yumen,97.35,39.49
Zhangye,100.26,38.56
Guangzhou,113.14,23.08
Chaozhou,116.38,23.4
Dongguan,113.45,23.02
Enping,112.19,22.12
Foshan,113.06,23.02
Gaozhou,110.5,21.54
Heshan,112.57,22.46
Heyuan,114.41,23.43
Huazhou,110.37,21.39
Huizhou,114.22,23.05
Jiangmen,113.04,22.35
Jieyang,116.21,22.32
Kaiping,112.4,22.22
Lechang,113.21,25.09
Leizhou,110.04,20.54
Lianjiang,110.17,21.37
Lianzhou,112.23,24.48
Luoding,111.33,22.46
Maoming,110.53,21.4
Meizhou,116.07,24.19
Puning,116.1,23.18
Qingyuan,113.01,23.42
Shantou,116.41,23.22
Shanwei,115.21,22.47
Shaoguan,113.37,24.48
Shenzhen,114.07,22.33
Sihui,112.41,23.21
Taishan,112.48,22.15
Wuchuan,110.47,21.26
Xingning,115.43,24.09
Yangchun,111.48,22.1
Yangjiang,111.58,21.5
Yingde,113.22,24.1
Yunfu,112.02,22.57
Zengcheng,113.49,23.18
Zhanjiang,110.24,21.11
Zhaoqing,112.27,23.03
Zhongshan,113.22,22.31
Zhuhai,113.34,22.17
Nanning,108.19,22.48
Beihai,109.07,21.28
Beiliu,110.21,22.42
Baise,106.36,23.54
Fangchenggang,108.2,21.37
Guigang,109.36,23.06
Guilin,110.17,25.17
Guiping,110.04,23.22
Hechi,108.03,24.42
Liuzhou,109.24,23.19
Qinzhou,108.37,21.57
Wuzhou,111.2,23.29
Yulin,110.09,22.38
Yizhou,108.4,24.28
Guiyang,106.42,26.35
Anshun,105.55,26.14
Bijie,105.18,27.18
Chishui,105.42,28.34
Duyun,107.31,26.15
Kaili,107.58,26.35
Liupanshui,104.5,26.35
Qingzhen,106.27,26.33
Tongren,109.12,27.43
Xingyi,104.53,25.05
Zunyi,106.55,27.42
Haikou,110.2,20.02
Danzhou,109.34,19.31
Qionghai,110.28,19.14
Sanya,109.31,18.14
Shijiazhuang,114.3,38.02
Anguo,115.2,38.24
Baoding,115.3,38.51
Bazhou,116.24,39.06
Botou,116.34,38.04
Cangzhou,116.52,38.18
Chengde,117.57,40.59
Dingzhou,115,38.3
Gaobeidian,115.51,39.2
Handan,114.28,36.36
Hejian,116.05,38.26
Hengshui,115.42,37.44
Huanghua,117.21,38.21
Nangong,115.23,37.22
Qinhuangdao,119.35,39.55
Renqiu,116.07,38.42
Sanhe,117.04,39.58
Shahe,114.3,36.51
Shenzhou,115.32,38.01
Tangshan,118.11,39.36
Wuan,114.11,36.42
Xingtai,114.3,37.04
Xinji,115.12,37.54
Xinle,114.41,38.2
Zhangjiakou,114.53,40.48
Zhuozhou,115.59,39.29
Zunhua,117.58,40.11
Zhengzhou,113.4,34.46
Anyang,114.21,36.06
Changge,113.47,34.12
Dengfeng,113.02,34.27
Dengzhou,112.05,32.42
Gongyi,112.58,34.46
Hebi,114.11,35.54
Huixian,113.47,35.27
Jiaozuo,113.12,35.14
Jiyuan,112.35,35.04
Kaifeng,114.21,34.47
Lingbao,110.52,34.31
Linzhou,113.49,36.03
Luohe,114.02,33.33
Luoyang,112.27,34.41
Nanyang,112.32,33
Pingdingshan,113.17,33.44
Puyang,115.01,35.44
Qinyang,112.57,35.05
Ruzhou,112.5,34.09
Sanmenxia,111.12,34.47
Shangqiu,115.38,34.26
Weihui,114.03,35.24
Wugang,113.3,33.17
Xiangcheng,114.54,33.26
Xingyang,113.21,34.46
Xinmi,113.22,34.31
