government,Province_China,Province,city_China,City,N,E
___,__,Anhui ,__,Hefei,31.52,117.17
___,__,Anhui ,__,Anqing,30.31,117.02
___,__,Anhui ,__,Bengbu,32.56,117.21
___,__,Anhui ,__,Bozhou,33.52,115.47
___,__,Anhui ,__,Chaohu,31.36,117.52
___,__,Anhui ,__,Chuzhou,32.18,118.18
___,__,Anhui ,__,Fuyang,32.54,115.48
___,__,Anhui ,__,#N/A,30.39,117.28
___,__,Anhui ,__,Huaibei,33.57,116.47
___,__,Anhui ,__,Huainan,32.37,116.58
___,__,Anhui ,__,Huangshan,29.43,118.18
___,__,Anhui ,__,Jieshou,33.15,115.21
___,__,Anhui ,__,Lu'an,31.44,116.28
___,__,Anhui ,___,Ma'anshan,31.43,118.28
___,__,Anhui ,__,Mingguang,32.47,117.58
___,__,Anhui ,__,Suzhou,33.38,116.58
___,__,Anhui ,__,Tianchang,32.41,118.59
___,__,Anhui ,__,Tongling,30.56,117.48
___,__,Anhui ,__,Wuhu,31.19,118.22
___,__,Anhui ,__,#N/A,30.57,118.44
__,__,#N/A,__,#N/A,21.33,115.07
___,___,#N/A,__,Beijing,39.55,116.24
___,__,Fujian,__,Fuzhou,26.05,119.18
___,__,Fujian,__,Changle,25.58,119.31
___,__,Fujian,__,Fu'an,27.06,119.39
___,__,Fujian,__,Fuqing,25.42,119.23
___,__,Fujian,__,Jian'ou,27.03,118.2
___,__,Fujian,__,#N/A,27.21,118.07
___,__,Fujian,__,Jinjiang,24.49,118.35
___,__,Fujian,__,Longhai,24.26,117.48
___,__,Fujian,__,Longyan,25.06,117.01
___,__,Fujian,__,Nan'an,24.57,118.23
___,__,Fujian,__,Nanping,26.38,118.1
___,__,Fujian,__,Ningde,26.39,119.31
___,__,Fujian,__,Putian,24.26,119.01
___,__,Fujian,__,Quanzhou,24.56,118.36
___,__,Fujian,__,Sanming,26.13,117.36
___,__,Fujian,__,Shaowu,27.2,117.29
___,__,Fujian,__,Shishi,24.44,118.38
___,__,Fujian,___,Wuyishan,27.46,118.02
___,__,Fujian,__,Xiamen,24.27,118.06
___,__,Fujian,__,Yong'an,25.58,117.23
___,__,Fujian,__,Zhangping,25.17,117.24
___,__,Fujian,__,Zhangzhou,24.31,117.39
___,__,Gansu ,__,Lanzhou,36.04,103.51
___,__,Gansu ,__,Baiyin,36.33,104.12
___,__,Gansu ,__,Dunhuang,40.08,94.41
___,__,Gansu ,___,Jiayuguan,39.48,98.14
___,__,Gansu ,__,Jinchang,38.28,102.1
___,__,Gansu ,__,Jiuquan,39.44,98.31
___,__,Gansu ,__,Linxia,35.37,103.12
___,__,Gansu ,__,Pingliang,35.32,106.4
___,__,Gansu ,__,Tianshui,34.37,105.42
___,__,Gansu ,__,Wuwei,37.56,102.39
___,__,Gansu ,__,#N/A,35.45,107.4
___,__,Gansu ,__,Yumen,39.49,97.35
___,__,Gansu ,__,Zhangye,38.56,100.26
___,__,Guangdong,__,Guangzhou,23.08,113.14
___,__,Guangdong,__,#N/A,23.16,116.36
___,__,Guangdong,__,Chaozhou,23.4,116.38
___,__,Guangdong,__,#N/A,23.28,116.46
___,__,Guangdong,__,#N/A,23.33,113.33
___,__,Guangdong,__,Dongguan,23.02,113.45
___,__,Guangdong,__,Enping,22.12,112.19
___,__,Guangdong,__,Foshan,23.02,113.06
___,__,Guangdong,__,#N/A,22.53,112.5
___,__,Guangdong,__,#N/A,23.02,112.26
___,__,Guangdong,__,Gaozhou,21.54,110.5
___,__,Guangdong,__,Heshan,22.46,112.57
___,__,Guangdong,__,Heyuan,23.43,114.41
___,__,Guangdong,__,#N/A,23.23,113.12
___,__,Guangdong,__,Huazhou,21.39,110.37
___,__,Guangdong,__,#N/A,22.48,114.28
___,__,Guangdong,__,Huizhou,23.05,114.22
___,__,Guangdong,__,Jiangmen,22.35,113.04
___,__,Guangdong,__,Jieyang,22.32,116.21
___,__,Guangdong,__,Kaiping,22.22,112.4
___,__,Guangdong,__,Lechang,25.09,113.21
___,__,Guangdong,__,Leizhou,20.54,110.04
___,__,Guangdong,__,Lianjiang,21.37,110.17
___,__,Guangdong,__,Lianzhou,24.48,112.23
___,__,Guangdong,__,Luoding,22.46,111.33
___,__,Guangdong,__,Maoming,21.4,110.53
___,__,Guangdong,__,Meizhou,24.19,116.07
___,__,Guangdong,__,#N/A,23.01,113.09
___,__,Guangdong,__,#N/A,22.57,113.22
___,__,Guangdong,__,Puning,23.18,116.1
___,__,Guangdong,__,Qingyuan,23.42,113.01
___,__,Guangdong,__,#N/A,23.1,112.52
___,__,Guangdong,__,Shantou,23.22,116.41
___,__,Guangdong,__,Shanwei,22.47,115.21
___,__,Guangdong,__,Shaoguan,24.48,113.37
___,__,Guangdong,__,Shenzhen,22.33,114.07
___,__,Guangdong,__,#N/A,22.5,113.15
___,__,Guangdong,__,Sihui,23.21,112.41
___,__,Guangdong,__,Taishan,22.15,112.48
___,__,Guangdong,__,Wuchuan,21.26,110.47
___,__,Guangdong,__,#N/A,22.32,113.01
___,__,Guangdong,__,Xingning,24.09,115.43
___,__,Guangdong,__,Yangchun,22.1,111.48
___,__,Guangdong,__,Yangjiang,21.5,111.58
___,__,Guangdong,__,Yingde,24.1,113.22
___,__,Guangdong,__,Yunfu,22.57,112.02
___,__,Guangdong,__,Zengcheng,23.18,113.49
___,__,Guangdong,__,Zhanjiang,21.11,110.24
___,__,Guangdong,__,Zhaoqing,23.03,112.27
___,__,Guangdong,__,Zhongshan,22.31,113.22
___,__,Guangdong,__,Zhuhai,22.17,113.34
_____,_____,#N/A,__,Nanning,22.48,108.19
_____,_____,#N/A,__,Beihai,21.28,109.07
_____,_____,#N/A,__,Beiliu,22.42,110.21
_____,_____,#N/A,__,Baise,23.54,106.36
_____,_____,#N/A,___,Fangchenggang,21.37,108.2
_____,_____,#N/A,__,Guigang,23.06,109.36
_____,_____,#N/A,__,Guilin,25.17,110.17
_____,_____,#N/A,__,Guiping,23.22,110.04
_____,_____,#N/A,__,Hechi,24.42,108.03
_____,_____,#N/A,__,Heshan,23.47,108.52
_____,_____,#N/A,__,Liuzhou,23.19,109.24
_____,_____,#N/A,__,#N/A,22.07,106.44
_____,_____,#N/A,__,Qinzhou,21.57,108.37
_____,_____,#N/A,__,Wuzhou,23.29,111.2
_____,_____,#N/A,__,Yulin,22.38,110.09
_____,_____,#N/A,__,Yizhou,24.28,108.4
___,__,Guizhou ,__,Guiyang,26.35,106.42
___,__,Guizhou ,__,Anshun,26.14,105.55
___,__,Guizhou ,__,Bijie,27.18,105.18
___,__,Guizhou ,__,Chishui,28.34,105.42
___,__,Guizhou ,__,Duyun,26.15,107.31
___,__,Guizhou ,__,Kaili,26.35,107.58
___,__,Guizhou ,___,Liupanshui,26.35,104.5
___,__,Guizhou ,__,Qingzhen,26.33,106.27
___,__,Guizhou ,__,Tongren,27.43,109.12
___,__,Guizhou ,__,Xingyi,25.05,104.53
___,__,Guizhou ,__,Zunyi,27.42,106.55
___,__,Hainan,__,Haikou,20.02,110.2
___,__,Hainan,__,Danzhou,19.31,109.34
___,__,Hainan,__,Qionghai,19.14,110.28
___,__,Hainan,__,#N/A,19.59,110.21
___,__,Hainan,__,Sanya,18.14,109.31
___,__,Hainan,__,#N/A,18.46,109.31
___,__,Hebei ,___,Shijiazhuang,38.02,114.3
___,__,Hebei ,__,Anguo,38.24,115.2
___,__,Hebei ,__,Baoding,38.51,115.3
___,__,Hebei ,__,Bazhou,39.06,116.24
___,__,Hebei ,__,Botou,38.04,116.34
___,__,Hebei ,__,Cangzhou,38.18,116.52
___,__,Hebei ,__,Chengde,40.59,117.57
___,__,Hebei ,__,Dingzhou,38.3,115
___,__,Hebei ,__,#N/A,39.34,118.06
___,__,Hebei ,___,Gaobeidian,39.2,115.51
___,__,Hebei ,__,#N/A,38.02,114.5
___,__,Hebei ,__,Handan,36.36,114.28
___,__,Hebei ,__,Hejian,38.26,116.05
___,__,Hebei ,__,Hengshui,37.44,115.42
___,__,Hebei ,__,Huanghua,38.21,117.21
___,__,Hebei ,__,Jinzhou,38.02,115.02
___,__,Hebei ,__,#N/A,37.34,115.33
___,__,Hebei ,__,#N/A,39.31,116.42
___,__,Hebei ,__,#N/A,38.04,114.19
___,__,Hebei ,__,Nangong,37.22,115.23
___,__,Hebei ,___,Qinhuangdao,39.55,119.35
___,__,Hebei ,__,Renqiu,38.42,116.07
___,__,Hebei ,__,Sanhe,39.58,117.04
___,__,Hebei ,__,Shahe,36.51,114.3
