Year;City;Brand;CBU/PbP;Model;Total Year
2016;Anqing;ABB;PBP;C CLASS SEDAN;108
2016;Bengbu;ABB;PBP;C CLASS SEDAN;129
2016;Bozhou;ABB;PBP;C CLASS SEDAN;144
2016;Chizhou;ABB;PBP;C CLASS SEDAN;54
2016;Chuzhou;ABB;PBP;C CLASS SEDAN;125
2016;Fuyang;ABB;PBP;C CLASS SEDAN;219
2016;Hefei;ABB;PBP;C CLASS SEDAN;1257
2016;Huaibei;ABB;PBP;C CLASS SEDAN;65
2016;Huainan;ABB;PBP;C CLASS SEDAN;97
2016;Huangshan;ABB;PBP;C CLASS SEDAN;52
2016;Liu'an;ABB;PBP;C CLASS SEDAN;162
2016;Ma'anshan;ABB;PBP;C CLASS SEDAN;149
2016;Suzhou(Anhui);ABB;PBP;C CLASS SEDAN;66
2016;Tongling;ABB;PBP;C CLASS SEDAN;84
2016;Wuhu;ABB;PBP;C CLASS SEDAN;325
2016;Xuancheng;ABB;PBP;C CLASS SEDAN;170
2016;Changzhou;ABB;PBP;C CLASS SEDAN;1245
2016;Huai'an;ABB;PBP;C CLASS SEDAN;395
2016;Lianyungang;ABB;PBP;C CLASS SEDAN;277
2016;Nanjing;ABB;PBP;C CLASS SEDAN;3557
2016;Nantong;ABB;PBP;C CLASS SEDAN;1529
2016;Suqian;ABB;PBP;C CLASS SEDAN;294
2016;Suzhou;ABB;PBP;C CLASS SEDAN;4054
2016;Tai4zhou;ABB;PBP;C CLASS SEDAN;693
2016;Wuxi;ABB;PBP;C CLASS SEDAN;2529
2016;Xuzhou;ABB;PBP;C CLASS SEDAN;664
2016;Yancheng;ABB;PBP;C CLASS SEDAN;525
2016;Yangzhou;ABB;PBP;C CLASS SEDAN;610
2016;Zhenjiang;ABB;PBP;C CLASS SEDAN;329
2016;Shanghai;ABB;PBP;C CLASS SEDAN;6272
2016;Hangzhou;ABB;PBP;C CLASS SEDAN;2916
2016;Huzhou;ABB;PBP;C CLASS SEDAN;915
2016;Jiaxing;ABB;PBP;C CLASS SEDAN;1406
2016;Jinhua;ABB;PBP;C CLASS SEDAN;1500
2016;Lishui;ABB;PBP;C CLASS SEDAN;250
2016;Ningbo;ABB;PBP;C CLASS SEDAN;2775
2016;Quzhou;ABB;PBP;C CLASS SEDAN;306
2016;Shaoxing;ABB;PBP;C CLASS SEDAN;1177
2016;Tai1zhou;ABB;PBP;C CLASS SEDAN;1503
2016;Wenzhou;ABB;PBP;C CLASS SEDAN;1494
