Sales country,,City,Zip code
819,China,Dongguan,523076
819,China,Taiyuan,30031
819,China,Taiyuan,30031
819,China,Su1zhou,215314
819,China,Xiamen,361026
819,China,Nanjing,210036
819,China,Nantong,226001
819,China,Qinhuangdao,66004
819,China,Dongying,257100
819,China,Tai1zhou,318050
819,China,Xuzhou,221121
819,China,Quzhou,324000
819,China,Wujiang,215228
819,China,Wuhu,241000
819,China,Wuhu,241000
819,China,Yiwu,322000
819,China,Tianjin,300308
819,China,Guang'an,638500
819,China,Dazhou,635000
819,China,Wuhan,430014
819,China,Beijing,100176
819,China,Dongguan,523000
819,China,Liuzhou,545006
819,China,Wujiang,215228
819,China,Ningbo,315821
819,China,Changzhou,213119
819,China,Nantong,226500
819,China,Beijing,100123
819,China,Handan,56000
819,China,Chengdu,610045
819,China,Dazhou,635000
819,China,Shenzhen,518054
819,China,Tianjin,300402
819,China,Zhuzhou,412000
819,China,Jiaxing,314000
819,China,Shaoxing,312000
819,China,Taizhou,317500
819,China,Ningbo,315000
819,China,Tianjin,300308
819,China,Baoding,71051
819,China,Chengdu,610200
819,China,Suzhou,215011
819,China,Nanjing,210044
819,China,Nanjing,211101
819,China,Nanjing,211101
819,China,Linfen,41000
819,China,Chengdu,610063
819,China,Wuxi,214000
819,China,Foshan,528308
819,China,Jiaxing,314001
819,China,Taizhou,317500
819,China,Luoyang,471000
819,China,Taiyuan,30032
819,China,Chongqing,400054
819,China,Nanchang,330200
819,China,Baoding,71051
819,China,Beijing,100176
819,China,Liuzhou,545006
819,China,MAOMING,525000
819,China,Quzhou,324000
819,China,Shanghai,200072
819,China,Taiyuan,30032
819,China,Langfang,65000
819,China,Shenyang,110025
819,China,Baoding,71051
819,China,Guangzhou,511400
819,China,Liyang,213300
819,China,Chengdu,610045
819,China,Guiyang,550081
819,China,Chengdu,610041
819,China,Yiwu,322000
819,China,Harbin,150056
819,China,Beijing,100192
819,China,Guangzhou,510651
819,China,SHAOYANG,422000
819,China,Hangzhou,310051
819,China,Shanghai,201803
819,China,Fu Zhou,350100
819,China,Fu Zhou,350100
819,China,Taizhou,317500
819,China,Beijing,100023
819,China,Tai1zhou,318050
819,China,Wujiang,215228
819,China,Changchun,130033
819,China,Chengdu,610045
819,China,Foshan,528200
819,China,Shenzhen,518054
819,China,Shenzhen,518054
819,China,Dongguan,523076
819,China,Shenzhen,518172
819,China,Chengdu,610041
819,China,Guangzhou,511400
819,China,Guangzhou,511400
819,China,SHAOYANG,422000
819,China,Su1zhou,215500
819,China,Hangzhou,310051
819,China,Hangzhou,310051
819,China,Ningbo,315033
819,China,Beijing,100023
819,China,Beijing,100143
819,China,Taiyuan,30032
819,China,Tianjin,300402
819,China,Wenzhou,325029
819,China,Foshan,528308
819,China,Dongguan,523000
819,China,Quzhou,324000
819,China,Changzhou,213164
819,China,Yiwu,322000
819,China,Beijing,100123
819,China,Chaoyang,100102
819,China,Beijing,101102
819,China,Chengdu,610063
819,China,Wuhan,430014
819,China,Guiyang,550081
819,China,Hefei,230011
819,China,Dongguan,523000
819,China,Tai1zhou,318000
819,China,Jiaxing,314001
819,China,Suzhou,215011
819,China,Tongxiang,314500
819,China,Yiwu,322000
819,China,Beijing,100023
819,China,Taiyuan,30012
819,China,Rizhao,276800
819,China,Heze,274000
819,China,Liuzhou,545006
819,China,SHAOYANG,422000
819,China,Foshan,528303
819,China,Shaoxing,312000
819,China,Shanghai,201803
819,China,Wuxi,214062
819,China,Xuancheng,242000
819,China,Shanghai,201799
819,China,Dalian,116037
819,China,Beijing,101101
819,China,Kunming,650228
819,China,Shenzhen,518172
819,China,Guangzhou,511400
819,China,Quanzhou,362200
819,China,Jinhua,322000
819,China,Qinhuangdao,66004
819,China,Chengdu,610045
819,China,Yibin,644000
819,China,JIANGMEN,529100
819,China,Liuzhou,545006
819,China,Nanning,530007
819,China,Tai1zhou,318000
819,China,Su1zhou,215314
819,China,Xuzhou,221121
